mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Copper,3,sarima,22,53.54,43.54,17.14,0.68,0.32
Copper,3,catboost,22,56.47,48.19,18.8,0.68,0.28
Copper,3,arima,22,59.56,50.78,19.65,0.68,0.24
Copper,3,lightgbm,22,59.95,50.22,19.46,0.68,0.24
Copper,3,historical_mean,22,67.96,57.71,21.92,0.64,0.14
Copper,3,naive,22,78.84,55.59,22.21,0.0,0.0
Copper,3,sarimax,0,,,,,
Copper,3,xgboost,0,,,,,
Copper,6,sarima,22,50.56,40.43,16.05,0.64,0.11
Copper,6,arima,22,53.43,44.93,17.67,0.55,0.06
Copper,6,random_forest,22,53.49,45.39,17.84,0.59,0.06
Copper,6,catboost,22,54.69,44.31,17.41,0.59,0.04
Copper,6,naive,22,56.71,43.65,17.82,0.0,0.0
Copper,6,lightgbm,22,57.28,45.11,17.78,0.5,-0.01
Copper,6,historical_mean,22,69.4,59.09,22.36,0.5,-0.22
Copper,6,sarimax,0,,,,,
Copper,6,xgboost,0,,,,,
Copper,12,sarima,21,48.16,38.14,15.31,0.71,0.3
Copper,12,random_forest,21,49.01,38.5,15.44,0.76,0.29
Copper,12,lightgbm,21,52.57,42.51,16.88,0.71,0.24
Copper,12,arima,21,53.82,45.52,17.97,0.67,0.22
Copper,12,catboost,21,56.51,48.3,18.91,0.71,0.18
Copper,12,naive,21,69.02,54.9,21.78,0.0,0.0
Copper,12,historical_mean,21,70.45,60.83,23.07,0.62,-0.02
Copper,12,sarimax,0,,,,,
Copper,12,xgboost,0,,,,,
